,left sensor,right sensor,left motor,right motor
134,163,146,46,44
135,162,162,45,45
136,159,145,46,44
137,165,149,46,44
138,164,144,47,43
139,158,141,46,44
140,171,120,50,40
141,179,141,48,42
142,190,133,50,40
143,190,141,49,41
144,197,129,51,39
145,205,143,51,39
146,235,130,55,35
147,200,129,52,38
148,250,132,56,34
149,207,130,52,38
150,243,150,54,36
151,249,142,55,35
152,243,150,54,36
153,234,154,53,37
154,217,141,52,38
155,203,147,50,40
156,195,148,49,41
157,191,153,48,42
158,159,144,46,44
159,173,146,47,43
160,162,146,46,44
161,171,148,47,43
162,164,131,48,42
163,171,141,48,42
164,162,142,47,43
165,159,132,47,43
166,171,143,47,43
167,165,147,46,44
168,163,137,47,43
169,170,138,48,42
170,176,134,49,41
171,186,134,50,40
172,182,128,50,40
173,178,152,47,43
174,175,130,49,41
175,172,131,49,41
176,177,125,50,40
177,180,136,49,41
178,170,133,48,42
179,179,138,49,41
180,182,138,49,41
181,185,131,50,40
182,184,133,50,40
183,184,129,50,40
184,169,131,48,42
185,174,135,48,42
186,179,137,49,41
187,170,86,53,37
188,171,134,48,42
189,171,140,48,42
190,165,157,45,45
191,150,152,45,45
192,158,148,46,44
193,156,136,47,43
194,165,140,47,43
195,167,166,45,45
